RECORDID,gold_labels,compound_by_article,average_sentence,median_sentence,mode_sentence,pstd_sentence,average_paragraph,median_paragraph,mode_paragraph,pstd_paragraph,avg_first_last_para
20200811-38496,-1,0.9594,-0.0003292307692307697,0.0,0.0,0.3436020635395531,-0.00016363636363636106,0.0,0.0,0.38304579140626205,-0.06490000000000001
20200805-72468,0,0.9937,0.2577731707317073,0.1779,0.0,0.29471152164024306,0.6310769230769231,0.7351,0.8779,0.26478741880943535,1.826
20200817-17810,-1,-0.3182,-0.0029812500000000013,0.0,0.0,0.3294746902622984,0.022888235294117647,0.0,0.0,0.2970705617948724,0.0
20200727-7699,-1,0.6808,0.051153846153846154,0.0,0.0,0.18477699080610915,0.13616,0.0,0.0,0.27232,0.0
20200815-7456,-1,0.8979,0.045345833333333335,0.0,0.0,0.29160223475819286,0.05875238095238095,0.0,0.0,0.32491790555688665,0.0
20200811-48764,1,0.9378,0.08457142857142858,0.0,0.0,0.342596386914005,0.11842272727272728,0.0,0.0,0.45022615724243437,0.5659
20200423-53523,1,0.9995,0.19658571428571428,0.0,0.0,0.3508437405343137,0.22167391304347828,0.0258,0.0,0.37117156143099495,0.3818
20200521-28456,0,0.997,0.1279235294117647,0.0,0.0,0.271706596792357,0.1689967741935484,0.0,0.0,0.3275917379357845,0.0
20200828-12262,0,0.8137,0.056577777777777775,0.0,0.0,0.4084106170250296,0.04625,0.0,0.0,0.3691179555800272,-0.2144
20200903-22043,1,0.7887,0.06350714285714286,0.0,0.0,0.43335707310037347,0.05746904761904762,0.0,0.0,0.36919623539850227,0.2458
20200707-29697,1,0.9187,0.07751176470588235,0.0,0.0,0.16898703355183947,0.16347499999999998,0.0,0.0,0.24123901399856532,-0.0772
20200726-30138,0,0.9636,0.06908095238095238,0.0,0.0,0.38280488828426823,0.056096551724137925,0.0,0.0,0.3916971591304537,0.0
20200321-18921,-1,0.9977,0.10066463414634146,0.0,0.0,0.2279555778141291,0.20762777777777777,0.0,0.0,0.29337892601275073,0.0
20200717-16663,-1,-0.9973,-0.2079391304347826,0.0,0.0,0.4194153640476751,-0.3159071428571429,-0.2313,0.0,0.44497128713834,-1.3331
20200817-80618,0,0.9611,0.06735882352941176,0.0,0.0,0.27578924937205973,0.11032,0.0,0.0,0.35283179599728065,0.3597
20200519-8463,1,0.891,0.09759230769230769,0.0,0.0,0.283553840936883,0.17225555555555555,0.0,0.0,0.25831111350080294,0.0
20200612-83410,-1,-0.5647,-0.04956666666666667,0.0,0.0,0.3094678573329098,-0.05954782608695652,0.0,0.0,0.32155577766143156,-0.5719
